# CSV: Нули ζ(s) на критической линии
# Сгенерировано: 2026-06-28 15:21:28
index,t,s_real,s_imag,zero_number
1,14.134725141734695,0.5,14.134725141734695,1
2,21.022039638771556,0.5,21.022039638771556,2
3,25.010857580145689,0.5,25.010857580145689,3
4,30.424876125859512,0.5,30.424876125859512,4
5,32.935061587739192,0.5,32.935061587739192,5
6,37.586178158825675,0.5,37.586178158825675,6
7,40.918719012147498,0.5,40.918719012147498,7
8,43.327073280915002,0.5,43.327073280915002,8
9,48.005150881167161,0.5,48.005150881167161,9
10,49.773832477672300,0.5,49.773832477672300,10
11,52.970321477714464,0.5,52.970321477714464,11
12,56.446247697063392,0.5,56.446247697063392,12
13,59.347044002602352,0.5,59.347044002602352,13
14,60.831778524609810,0.5,60.831778524609810,14
15,65.112544048081602,0.5,65.112544048081602,15
16,67.079810529494168,0.5,67.079810529494168,16
17,69.546401711173985,0.5,69.546401711173985,17
18,72.067157674481905,0.5,72.067157674481905,18
19,75.704690699083926,0.5,75.704690699083926,19
20,77.144840068874799,0.5,77.144840068874799,20
21,79.337375020249368,0.5,79.337375020249368,21
22,82.910380854086029,0.5,82.910380854086029,22
23,84.735492980517051,0.5,84.735492980517051,23
24,87.425274613125225,0.5,87.425274613125225,24
25,88.809111207634459,0.5,88.809111207634459,25
26,92.491899270558491,0.5,92.491899270558491,26
27,94.651344040519888,0.5,94.651344040519888,27
28,95.870634228245308,0.5,95.870634228245308,28
29,98.831194218193687,0.5,98.831194218193687,29
30,101.317851005731384,0.5,101.317851005731384,30
31,103.725538040478341,0.5,103.725538040478341,31
32,105.446623052326089,0.5,105.446623052326089,32
33,107.168611184276401,0.5,107.168611184276401,33
34,111.029535543169672,0.5,111.029535543169672,34
35,111.874659176992637,0.5,111.874659176992637,35
36,114.320220915452708,0.5,114.320220915452708,36
37,116.226680320857554,0.5,116.226680320857554,37
38,118.790782865976212,0.5,118.790782865976212,38
39,121.370125002420650,0.5,121.370125002420650,39
40,122.946829293552582,0.5,122.946829293552582,40
41,124.256818554345770,0.5,124.256818554345770,41
42,127.516683879596499,0.5,127.516683879596499,42
43,129.578704199956064,0.5,129.578704199956064,43
44,131.087688530932667,0.5,131.087688530932667,44
45,133.497737202997598,0.5,133.497737202997598,45
46,134.756509753373876,0.5,134.756509753373876,46
47,138.116042054533438,0.5,138.116042054533438,47
48,139.736208952121387,0.5,139.736208952121387,48
49,141.123707404021133,0.5,141.123707404021133,49
50,143.111845807620625,0.5,143.111845807620625,50
51,146.000982486765508,0.5,146.000982486765508,51
52,147.422765342559615,0.5,147.422765342559615,52
53,150.053520420784878,0.5,150.053520420784878,53
54,150.925257612241467,0.5,150.925257612241467,54
55,153.024693811198887,0.5,153.024693811198887,55
56,156.112909294237880,0.5,156.112909294237880,56
57,157.597591817594065,0.5,157.597591817594065,57
58,158.849988171420506,0.5,158.849988171420506,58
59,161.188964137596031,0.5,161.188964137596031,59
60,163.030709687181997,0.5,163.030709687181997,60
61,165.537069187900414,0.5,165.537069187900414,61
62,167.184439978174510,0.5,167.184439978174510,62
63,169.094515415568821,0.5,169.094515415568821,63
64,169.911976479411692,0.5,169.911976479411692,64
65,173.411536519591550,0.5,173.411536519591550,65
66,174.754191523365733,0.5,174.754191523365733,66
67,176.441434297710430,0.5,176.441434297710430,67
68,178.377407776099972,0.5,178.377407776099972,68
69,179.916484020257002,0.5,179.916484020257002,69
70,182.207078484366463,0.5,182.207078484366463,70
71,184.874467848387496,0.5,184.874467848387496,71
72,185.598783677707473,0.5,185.598783677707473,72
73,187.228922583501856,0.5,187.228922583501856,73
74,189.416158656016933,0.5,189.416158656016933,74
75,192.026656360713787,0.5,192.026656360713787,75
76,193.079726603845700,0.5,193.079726603845700,76
77,195.265396679529232,0.5,195.265396679529232,77
78,196.876481840958320,0.5,196.876481840958320,78
79,198.015309676251917,0.5,198.015309676251917,79
80,201.264751943703800,0.5,201.264751943703800,80
81,202.493594514140540,0.5,202.493594514140540,81
82,204.189671803104545,0.5,204.189671803104545,82
83,205.394697202163286,0.5,205.394697202163286,83
84,207.906258887806217,0.5,207.906258887806217,84
85,209.576509716856265,0.5,209.576509716856265,85
86,211.690862595365303,0.5,211.690862595365303,86
87,213.347919359712677,0.5,213.347919359712677,87
88,214.547044783491430,0.5,214.547044783491430,88
89,216.169538508263713,0.5,216.169538508263713,89
90,219.067596349021386,0.5,219.067596349021386,90
91,220.714918839314009,0.5,220.714918839314009,91
92,221.430705554693333,0.5,221.430705554693333,92
93,224.007000254604321,0.5,224.007000254604321,93
94,224.983324669582288,0.5,224.983324669582288,94
95,227.421444279679292,0.5,227.421444279679292,95
96,229.337413305525359,0.5,229.337413305525359,96
97,231.250188700499166,0.5,231.250188700499166,97
98,231.987235253180245,0.5,231.987235253180245,98
99,233.693404178908310,0.5,233.693404178908310,99
